VacancyID,jobTitle,jobCategory,jobFunction,jobLevel,country,stateProvince,city,postalCode,lat,lng,externalURLRet,Distance
1,"Supervisor - Store# 01171, TOWER PLACE - EAST B",Retail Stores,Shift Supervisor,Team leader,United Kingdom,England,London,EC3R 5BT,51.50841,-0.07908,https://starbucks.taleo.net/careersection/1000222EuroRetail/jobdetail.ftl?job=180001835&lang=en-GB,
2,"Barista - Store# 01171, TOWER PLACE - EAST B",Retail Stores,Barista,Individual contributor,United Kingdom,England,London,EC3R 5BT,51.50841,-0.07908,https://starbucks.taleo.net/careersection/1000222EuroRetail/jobdetail.ftl?job=180001836&lang=en-GB,
7,"Supervisor - Store# 03824, NEW LOOK INVERNESS",Retail Stores,Shift Supervisor,Team leader,United Kingdom,Scotland,Inverness Business & Retail Park,IV2 7GD,57.48112,-4.17863,https://starbucks.taleo.net/careersection/1000222EuroRetail/jobdetail.ftl?job=180001843&lang=en-GB,
8,"Barista - Store# 03824, NEW LOOK INVERNESS",Retail Stores,Barista,Individual contributor,United Kingdom,Scotland,Inverness Business & Retail Park,IV2 7GD,57.48112,-4.17863,https://starbucks.taleo.net/careersection/1000222EuroRetail/jobdetail.ftl?job=180001844&lang=en-GB,
13,"Supervisor - Store# 05016, CARDIFF ST DAVIDS CE",Retail Stores,Shift Supervisor,Team leader,United Kingdom,Wales,Cardiff,CF10 1AH,51.47912,-3.17589,https://starbucks.taleo.net/careersection/1000222EuroRetail/jobdetail.ftl?job=180001849&lang=en-GB,
14,"Barista - Store# 05016, CARDIFF ST DAVIDS CE",Retail Stores,Barista,Individual contributor,United Kingdom,Wales,Cardiff,CF10 1AH,51.47912,-3.17589,https://starbucks.taleo.net/careersection/1000222EuroRetail/jobdetail.ftl?job=180001850&lang=en-GB,
15,"Supervisor - Store# 06029, CARDIFF ST DAVIDS CE",Retail Stores,Shift Supervisor,Team leader,United Kingdom,Wales,Cardiff,CF10 1GA,51.48097,-3.17626,https://starbucks.taleo.net/careersection/1000222EuroRetail/jobdetail.ftl?job=180001851&lang=en-GB,
16,"Barista - Store# 06029, CARDIFF ST DAVIDS CE",Retail Stores,Barista,Individual contributor,United Kingdom,Wales,Cardiff,CF10 1GA,51.48097,-3.17626,https://starbucks.taleo.net/careersection/1000222EuroRetail/jobdetail.ftl?job=180001852&lang=en-GB,
17,"Supervisor - Store# 06145, BROMPTON ROAD (19)",Retail Stores,Shift Supervisor,Team leader,United Kingdom,England,London,SW7 3HZ,51.49353,-0.17472,https://starbucks.taleo.net/careersection/1000222EuroRetail/jobdetail.ftl?job=180001853&lang=en-GB,
18,"Barista - Store# 06145, BROMPTON ROAD (19)",Retail Stores,Barista,Individual contributor,United Kingdom,England,London,SW7 3HZ,51.49353,-0.17472,https://starbucks.taleo.net/careersection/1000222EuroRetail/jobdetail.ftl?job=180001854&lang=en-GB,
19,"Supervisor - Store# 07008, ST JAMES'S RETAIL PA",Retail Stores,Shift Supervisor,Team leader,United Kingdom,England,Northampton,NN1 1EE,52.23273,-0.90404,https://starbucks.taleo.net/careersection/1000222EuroRetail/jobdetail.ftl?job=180001855&lang=en-GB,
20,"Barista - Store# 07008, ST JAMES'S RETAIL PA",Retail Stores,Barista,Individual contributor,United Kingdom,England,Northampton,NN1 1EE,52.23273,-0.90404,https://starbucks.taleo.net/careersection/1000222EuroRetail/jobdetail.ftl?job=180001856&lang=en-GB,
23,"Supervisor - Store# 07059, ABERDEEN UNION SQUAR",Retail Stores,Shift Supervisor,Team leader,United Kingdom,Scotland,Aberdeen,AB11 5RG,57.14269,-2.09584,https://starbucks.taleo.net/careersection/1000222EuroRetail/jobdetail.ftl?job=180001859&lang=en-GB,
24,"Barista - Store# 07059, ABERDEEN UNION SQUAR",Retail Stores,Barista,Individual contributor,United Kingdom,Scotland,Aberdeen,AB11 5RG,57.14269,-2.09584,https://starbucks.taleo.net/careersection/1000222EuroRetail/jobdetail.ftl?job=180001860&lang=en-GB,
25,"Supervisor - Store# 08095, DURHAM FRAMWELGATE",Retail Stores,Shift Supervisor,Team leader,United Kingdom,England,Durham,DH1 3RB,54.77608,-1.57897,https://starbucks.taleo.net/careersection/1000222EuroRetail/jobdetail.ftl?job=180001861&lang=en-GB,
26,"Barista - Store# 08095, DURHAM FRAMWELGATE",Retail Stores,Barista,Individual contributor,United Kingdom,England,Durham,DH1 3RB,54.77608,-1.57897,https://starbucks.taleo.net/careersection/1000222EuroRetail/jobdetail.ftl?job=180001862&lang=en-GB,
27,"Supervisor - Store# 09179, ELDON SQUARE KIOSK",Retail Stores,Shift Supervisor,Team leader,United Kingdom,England,Intu Eldon Square,NE1 7XD,54.97449,-1.61582,https://starbucks.taleo.net/careersection/1000222EuroRetail/jobdetail.ftl?job=180001863&lang=en-GB,
28,"Barista - Store# 09179, ELDON SQUARE KIOSK",Retail Stores,Barista,Individual contributor,United Kingdom,England,Intu Eldon Square,NE1 7XD,54.97449,-1.61582,https://starbucks.taleo.net/careersection/1000222EuroRetail/jobdetail.ftl?job=180001864&lang=en-GB,
31,"Supervisor - Store# 12004, KENSINGTON HIGH STRE",Retail Stores,Shift Supervisor,Team leader,United Kingdom,England,London,W8 5NP,51.50227,-0.18857,https://starbucks.taleo.net/careersection/1000222EuroRetail/jobdetail.ftl?job=180001867&lang=en-GB,
32,"Barista - Store# 12004, KENSINGTON HIGH STRE",Retail Stores,Barista,Individual contributor,United Kingdom,England,London,W8 5NP,51.50227,-0.18857,https://starbucks.taleo.net/careersection/1000222EuroRetail/jobdetail.ftl?job=180001868&lang=en-GB,
33,"Supervisor - Store# 12005, JAMES STREET W1",Retail Stores,Shift Supervisor,Team leader,United Kingdom,England,London,W1U 1EF,51.51469,-0.15029,https://starbucks.taleo.net/careersection/1000222EuroRetail/jobdetail.ftl?job=180001869&lang=en-GB,
34,"Barista - Store# 12005, JAMES STREET W1",Retail Stores,Barista,Individual contributor,United Kingdom,England,London,W1U 1EF,51.51469,-0.15029,https://starbucks.taleo.net/careersection/1000222EuroRetail/jobdetail.ftl?job=180001870&lang=en-GB,
37,"Supervisor - Store# 12013, PARSONS GREEN",Retail Stores,Shift Supervisor,Team leader,United Kingdom,England,London,SW6 4LS,51.47271,-0.20081,https://starbucks.taleo.net/careersection/1000222EuroRetail/jobdetail.ftl?job=180001873&lang=en-GB,
38,"Barista - Store# 12013, PARSONS GREEN",Retail Stores,Barista,Individual contributor,United Kingdom,England,London,SW6 4LS,51.47271,-0.20081,https://starbucks.taleo.net/careersection/1000222EuroRetail/jobdetail.ftl?job=180001874&lang=en-GB,
41,"Supervisor - Store# 12015, KING WILLIAM STREET",Retail Stores,Shift Supervisor,Team leader,United Kingdom,England,London,EC4N 7BJ,51.51256,-0.08814,https://starbucks.taleo.net/careersection/1000222EuroRetail/jobdetail.ftl?job=180001877&lang=en-GB,
42,"Barista - Store# 12015, KING WILLIAM STREET",Retail Stores,Barista,Individual contributor,United Kingdom,England,London,EC4N 7BJ,51.51256,-0.08814,https://starbucks.taleo.net/careersection/1000222EuroRetail/jobdetail.ftl?job=180001878&lang=en-GB,
43,"Supervisor - Store# 12021, GREAT MARLBOROUGH ST",Retail Stores,Shift Supervisor,Team leader,United Kingdom,England,London,W1F 7JD,51.51402,-0.13925,https://starbucks.taleo.net/careersection/1000222EuroRetail/jobdetail.ftl?job=180001879&lang=en-GB,
44,"Barista - Store# 12021, GREAT MARLBOROUGH ST",Retail Stores,Barista,Individual contributor,United Kingdom,England,London,W1F 7JD,51.51402,-0.13925,https://starbucks.taleo.net/careersection/1000222EuroRetail/jobdetail.ftl?job=180001880&lang=en-GB,
